CGATS.17
ORIGINATOR	"Ergosoft AG"
FILE_DESCRIPTOR	""
CREATED	"02/06/26"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	3401
BEGIN_DATA
187 "64V TM SCARLET T42043" 6.999313 95.500114 78.001068 17.999542 39.800107 56.699219 30.601563
188 "79S TM YELLOW STRIKE T42043" 0.000000 3.500420 83.099107 0.000000 92.100404 -1.500000 81.898438
189 "6DR TM PINK FIRE II T42043" 23.500420 75.500114 0.999466 0.000000 55.199512 49.101563 -13.000000
190 "67Y TM DARK MAROON T42043" 49.999237 99.000534 68.000305 74.500649 20.199893 22.199219 7.500000
191 "79X TM VEGAS GOLD T42043" 15.100328 20.999466 50.800336 4.100099 79.499504 3.800781 29.800781
192 "79Y TM BRIGHT GOLD T42043" 0.000000 38.500038 100.000000 2.000458 76.299687 19.898438 79.300781
193 "69W TM CRIMSON T42043" 15.201038 97.999542 77.999542 56.510262 29.100481 39.898438 20.898438
194 "81F TM DESERT ORANGE T42043" 20.999466 74.999619 91.999695 35.999084 41.899748 30.000000 35.800781
195 "69Y TM CARDINAL T42043" 22.999924 100.000000 68.999771 65.999847 24.100099 32.101563 13.000000
196 "82U TM ORANGE T42043" 8.000305 88.000305 95.509270 0.000000 51.700618 58.898438 49.000000
197 "87F TM BRIGHT CERAMIC T42043" 0.000000 56.499580 99.000534 0.000000 67.100023 36.699219 69.398438
198 "31V TM DARK GREEN T42043" 91.000229 7.100023 89.500267 74.500649 26.799420 -25.000000 12.500000
199 "01P TM DK STEEL GREY T42043" 61.510643 46.509499 50.000763 42.999924 54.999619 -1.000000 -2.000000
200 "08Q TM PEWTER GREY T42043" 25.999847 20.509651 33.000687 28.000305 68.000305 1.000000 8.000000
201 "44A TM TIDAL BLUE T42043" 80.509651 5.999847 28.509957 11.000229 79.000534 -33.000000 -26.000000
202 "05X TM ANTHRACITE RW47WK" 64.499886 33.000687 42.499428 79.000534 22.099641 -2.898438 0.800781
203 "31V TM DARK GREEN RW47WK" 88.499275 4.000916 88.999771 66.500343 25.099565 -23.898438 11.800781
204 "3EM TM KELLY GREEN RW47WK" 80.500496 6.999313 86.999313 28.000305 46.900130 -35.800781 23.300781
205 "43V TM NAVY RW47WK" 100.000000 68.999771 22.999924 82.999924 12.300298 1.699219 -11.199219
206 "45W TM BLUSTERY RW47WK" 91.999695 0.000000 60.500496 15.500114 50.200656 -49.500000 0.699219
207 "49V TM ROYAL RW47WK" 94.000153 56.000610 17.000076 11.000229 38.300145 -6.300781 -37.601563
208 "4CV TM LIGHT BLUE RW47WK" 60.000000 19.000534 5.999847 12.500191 63.799496 -8.101563 -29.300781
209 "4ES TM AERO BLUE RW47WK" 90.499733 6.999313 19.000534 8.999771 57.199969 -39.199219 -32.300781
210 "52V TM PURPLE RW47WK" 84.499886 83.500420 3.999390 19.000534 29.799344 19.000000 -37.199219
211 "64V TM SCARLET RW47WK" 8.999771 97.999542 80.999466 22.999924 42.999924 60.500000 33.800781
212 "67Y TM DARK MAROON RW47WK" 45.999847 96.000610 70.000763 67.499809 18.800641 20.898438 6.898438
213 "69W TM CRIMSON RW47WK" 11.500725 93.000687 77.999542 54.000153 29.399557 39.601563 22.898438
214 "69Y TM CARDINAL RW47WK" 19.501030 99.000534 63.500420 61.499962 25.200275 33.800781 11.800781
